,Rank,College Name,address,Number of Full-Time Undergraduates,Niche Overall Grade,Location,Acceptance Rate,niche_url,county
84,85,Northern Virginia Community College,"4001 Wakefield Chapel Rd, Annandale, VA 22003","18,435",C+,"Annandale, VA",100%,https://www.niche.com/colleges/northern-virginia-community-college/, Fairfax County
85,86,James Madison University,"800 South Main Street, Harrisonburg, VA 22807","18,433",A,"Harrisonburg, VA",72.57%,https://www.niche.com/colleges/james-madison-university/, Rockingham County
86,87,George Mason University,"4400 University Dr, Fairfax, VA 22030","18,430",A-,"Fairfax, VA",68.87%,https://www.niche.com/colleges/george-mason-university/, Fairfax County
87,88,Oklahoma State University,"107 Whitehurst, Stillwater, OK 74078","18,347",A,"Stillwater, OK",75.13%,https://www.niche.com/colleges/oklahoma-state-university/, Payne County
88,89,University of Wisconsin - Milwaukee,"2200 E Kenwood Blvd, Milwaukee, WI 53211","18,316",B+,"Milwaukee, WI",85.78%,https://www.niche.com/colleges/university-of-wisconsin---milwaukee/, Walworth
89,90,University of California - Riverside,"900 University Ave, Riverside, CA 92521","18,279",A-,"Riverside, CA",55.6%,https://www.niche.com/colleges/university-of-california---riverside/, Riverside County
90,91,University of Southern California,"University Park, Los Angeles, CA 90089","18,208",A+,"Los Angeles, CA",16.6%,https://www.niche.com/colleges/university-of-southern-california/, Los Angeles County
91,92,University of Oklahoma,"660 Parrington Oval, Norman, OK 73019","18,133",A,"Norman, OK",77.64%,https://www.niche.com/colleges/university-of-oklahoma/, Cleveland County
92,93,University of Connecticut,"352 Mansfield Road, Storrs, CT 06269","18,131",A-,"Storrs, CT",53.17%,https://www.niche.com/colleges/university-of-connecticut/, Tolland County
93,94,CUNY Borough of Manhattan Community College,"199 Chambers Street, New York, NY 10007","18,074",B-,"New York City, NY",100%,https://www.niche.com/colleges/cuny-borough-of-manhattan-community-college/, New York County
94,95,Kansas State University,"919 Mid-Campus Drive, Anderson Hall, Manhattan, KS 66506","17,935",A,"Manhattan, KS",94.92%,https://www.niche.com/colleges/kansas-state-university/, Riley County
95,96,Full Sail University,"3300 University Blvd, Winter Park, FL 32792","17,890",B,"Winter Park, FL",100%,https://www.niche.com/colleges/full-sail-university/, Orange County
96,97,University of Pittsburgh,"4200 Fifth Avenue, Pittsburgh, PA 15260","17,887",A,"Pittsburgh, PA",53.89%,https://www.niche.com/colleges/university-of-pittsburgh/, Allegheny County
97,98,Kennesaw State University,"1000 Chastain Rd, Kennesaw, GA 30144","17,732",B,"Kennesaw, GA",53.4481%,https://www.niche.com/colleges/kennesaw-state-university/, Cobb County
98,99,Central Michigan University,"101 Warriner Hall, Mount Pleasant, MI 48859","17,669",B+,"Mount Pleasant, MI",68.75%,https://www.niche.com/colleges/central-michigan-university/, Isabella County
99,100,University of North Carolina at Chapel Hill,"103 South Bldg Cb 9100Chapel Hill, NC 27599","17,645",A+,"Chapel Hill, NC",30.54%,https://www.niche.com/colleges/university-of-north-carolina-at-chapel-hill/,Orange County
