county-state,College Name,Location,county,state
 Hampshire County - Massachusetts,University of Massachusetts - Amherst,"Amherst, MA", Hampshire County,Massachusetts
 Wake County - North Carolina,North Carolina State University,"Raleigh, NC", Wake County,North Carolina
 Hamilton County - Ohio,University of Cincinnati,"Cincinnati, OH", Hamilton County,Ohio
 Passaic County - New Jersey,Montclair State University,"Montclair Township, NJ", Passaic County,New Jersey
 Larimer County - Colorado,Colorado State University,"Fort Collins, CO", Larimer County,Colorado
 Knox County - Tennessee,University of Tennessee,"Knoxville, TN", Knox County,Tennessee
Monongalia County - West Virginia,West Virginia University,"Morgantown, WV",Monongalia County,West Virginia
 Los Angeles County - California,California State University - Los Angeles,"Los Angeles, CA", Los Angeles County,California
 Santa Barbara County - California,University of California - Santa Barbara,"Santa Barbara, CA", Santa Barbara County,California
 Bexar County - Texas,University of Texas - San Antonio,"San Antonio, TX", Bexar County,Texas
 Merrimack County - New Hampshire,Southern New Hampshire University,"Manchester, NH", Merrimack County,New Hampshire
 Richmond City County - Virginia,Virginia Commonwealth University,"Richmond, VA", Richmond City County,Virginia
 Johnson County - Iowa,University of Iowa,"Iowa City, IA", Johnson County,Iowa
 Mecklenburg County - North Carolina,University of North Carolina at Charlotte,"Charlotte, NC", Mecklenburg County,North Carolina
 Lee County - Alabama,Auburn University,"Auburn, AL", Lee County,Alabama
 Los Angeles County - California,California State Polytechnic University - Pomona,"Pomona, CA", Los Angeles County,California
 Washington County - Arkansas,University of Arkansas,"Fayetteville, AR", Washington County,Arkansas
 Ottawa County - Michigan,Grand Valley State University,"Allendale, MI", Ottawa County,Michigan
 Pitt County - North Carolina,East Carolina University,"Greenville, NC", Pitt County,North Carolina
San Luis Obispo County - California,California Polytechnic State University - San Luis Obispo,"San Luis Obispo, CA",San Luis Obispo County,California
 Stark County - Ohio,Kent State University,"Kent, OH", Stark County,Ohio
 Lancaster County - Nebraska,University of Nebraska - Lincoln,"Lincoln, NE", Lancaster County,Nebraska
 Fulton County - Georgia,Georgia State University,"Atlanta, GA", Fulton County,Georgia
 Montgomery County - Texas,Lone Star College System,"The Woodlands, TX", Montgomery County,Texas
 Fresno County - California,California State University - Fresno,"Fresno, CA", Fresno County,California
 Lane County - Oregon,University of Oregon,"Eugene, OR", Lane County,Oregon
 Benton County - Oregon,Oregon State University,"Corvallis, OR", Benton County,Oregon
 Erie County - New York,"University at Buffalo, SUNY","Buffalo, NY", Erie County,New York
 Fairfax County - Virginia,Northern Virginia Community College,"Annandale, VA", Fairfax County,Virginia
 Rockingham County - Virginia,James Madison University,"Harrisonburg, VA", Rockingham County,Virginia
 Fairfax County - Virginia,George Mason University,"Fairfax, VA", Fairfax County,Virginia
 Payne County - Oklahoma,Oklahoma State University,"Stillwater, OK", Payne County,Oklahoma
 Walworth County - Wisconsin,University of Wisconsin - Milwaukee,"Milwaukee, WI", Walworth County,Wisconsin
 Riverside County - California,University of California - Riverside,"Riverside, CA", Riverside County,California
 Los Angeles County - California,University of Southern California,"Los Angeles, CA", Los Angeles County,California
 Cleveland County - Oklahoma,University of Oklahoma,"Norman, OK", Cleveland County,Oklahoma
