,school,school_logo,cases,location
132,Old Dominion University*,https://static01.nyt.com/newsgraphics/2020/07/20/college-coronavirus-cases/8b8985d30e09c84d02fe62f34c473cb665183907/logos/295.png,7,"Norfolk, Va."
133,University of Washington Tacoma,https://logo.clearbit.com/tacoma.uw.edu,7,"Tacoma, Wash."
134,University of Minnesota Twin Cities*,https://static01.nyt.com/newsgraphics/2020/07/20/college-coronavirus-cases/8b8985d30e09c84d02fe62f34c473cb665183907/logos/135.png,7,Minneapolis
135,"University of South Florida, St. Petersburg",https://logo.clearbit.com/usfsp.edu,7,"St. Petersburg, Fla."
136,Southern University Law Center,https://logo.clearbit.com/sulc.edu,7,"Baton Rouge, La."
137,Arkansas Tech University,https://logo.clearbit.com/atu.edu,6,"Russellville, Ark."
138,Florida Atlantic University*,https://static01.nyt.com/newsgraphics/2020/07/20/college-coronavirus-cases/8b8985d30e09c84d02fe62f34c473cb665183907/logos/2226.png,6,"Boca Raton, Fla."
139,Georgia Gwinnett College,https://logo.clearbit.com/ggc.edu,6,"Lawrenceville, Ga."
140,University of Louisiana at Lafayette*,https://static01.nyt.com/newsgraphics/2020/07/20/college-coronavirus-cases/8b8985d30e09c84d02fe62f34c473cb665183907/logos/309.png,6,"Lafeyette, La."
141,Sacred Heart University,https://logo.clearbit.com/sacredheart.edu,6,"Fairfield, Conn."
142,Whatcom Community College,https://logo.clearbit.com/whatcom.edu,6,"Bellingham, Wash."
143,Western Kentucky University*,https://static01.nyt.com/newsgraphics/2020/07/20/college-coronavirus-cases/8b8985d30e09c84d02fe62f34c473cb665183907/logos/98.png,6,"Bowling Green, Ky."
144,University of Massachusetts Amherst,https://static01.nyt.com/newsgraphics/2020/07/20/college-coronavirus-cases/8b8985d30e09c84d02fe62f34c473cb665183907/logos/113.png,6,"Amherst, Mass."
145,"University of California, Santa Barbara",https://logo.clearbit.com/ucsb.edu,6,"Santa Barbara, Calif."
146,Grand Canyon University,https://logo.clearbit.com/gcu.edu,6,"Pheonix, Ariz."
147,"California State University, Dominguez Hills",https://logo.clearbit.com/csudh.edu,5,"Carson, Calif."
148,Louisiana State University Alexandria,https://logo.clearbit.com/lsua.edu,5,"Alexandria, La."
